epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7013,1.31436,2.407,1.23259,0.44868,0.66354,0.43905,0.28295,1.34634,2.51481,1.21219,0.000330357,0.000330357,0.0672946
2,30.2138,1.18455,1.58127,1.15815,0.43078,0.74422,0.43872,0.30663,1.04451,1.66394,1.08601,0.000644918,0.000644918,0.0342759
3,39.2563,1.13202,1.46857,1.11581,0.46466,0.69341,0.45494,0.31138,1.10222,1.47818,1.1071,0.000940621,0.000940621,0.00123824
4,48.2609,1.13536,1.41747,1.13343,0.43192,0.77442,0.44922,0.31885,1.00393,1.36251,1.04774,0.000915143,0.000915143,0.000915143
5,56.3462,1.09087,1.33589,1.09815,0.44824,0.82613,0.44565,0.31039,1.06514,1.32275,1.08132,0.000886857,0.000886857,0.000886857
6,65.6917,1.11677,1.31914,1.10115,0.47153,0.78136,0.46224,0.32452,1.03108,1.36621,1.04203,0.000858571,0.000858571,0.000858571
7,75.2913,1.04981,1.28963,1.05793,0.44968,0.81165,0.48027,0.34746,0.99454,1.24879,1.03679,0.000830286,0.000830286,0.000830286
8,84.9064,1.07282,1.25938,1.08685,0.44542,0.83113,0.47703,0.34314,1.00169,1.2554,1.0191,0.000802,0.000802,0.000802
9,93.6979,1.05707,1.2569,1.07195,0.44728,0.8009,0.47503,0.33848,1.03327,1.22736,1.05484,0.000773714,0.000773714,0.000773714
10,103.331,1.05874,1.22578,1.08898,0.44896,0.8672,0.49028,0.3581,1.03094,1.20388,1.05657,0.000745429,0.000745429,0.000745429
11,113.024,1.0333,1.19966,1.0709,0.45514,0.84735,0.4835,0.35289,1.01266,1.19975,1.03516,0.000717143,0.000717143,0.000717143
12,121.659,1.02199,1.18673,1.06071,0.45335,0.80909,0.47124,0.33925,1.00174,1.22286,1.04612,0.000688857,0.000688857,0.000688857
13,131.243,1.02096,1.15664,1.06584,0.45874,0.84763,0.47993,0.35005,1.02469,1.18558,1.04646,0.000660571,0.000660571,0.000660571
14,141.228,0.97922,1.1437,1.02508,0.47064,0.81772,0.46835,0.3352,1.00733,1.25871,1.05787,0.000632286,0.000632286,0.000632286
15,150.097,0.95885,1.14638,1.0243,0.44652,0.86699,0.47047,0.34097,1.0177,1.24088,1.03697,0.000604,0.000604,0.000604
16,159.743,0.97707,1.14367,1.04161,0.44644,0.84188,0.46177,0.33108,0.98127,1.22329,1.04337,0.000575714,0.000575714,0.000575714
17,169.384,0.99066,1.13369,1.03971,0.43593,0.83551,0.4483,0.3218,0.97789,1.27453,1.0349,0.000547429,0.000547429,0.000547429
18,178.983,0.9701,1.10109,1.03975,0.4345,0.86561,0.44028,0.31883,1.00462,1.35677,1.05066,0.000519143,0.000519143,0.000519143
19,187.635,0.93443,1.08821,1.01538,0.44573,0.83897,0.46328,0.33953,0.95747,1.15157,1.01581,0.000490857,0.000490857,0.000490857
20,197.198,0.93376,1.08458,1.01389,0.43136,0.90492,0.4643,0.34489,0.94004,1.1676,1.01484,0.000462571,0.000462571,0.000462571
21,206.78,0.93303,1.07407,1.00775,0.44383,0.86136,0.47272,0.34931,0.93941,1.30237,1.02077,0.000434286,0.000434286,0.000434286
22,215.552,0.92768,1.06659,1.00803,0.43229,0.87535,0.4413,0.3134,0.97889,1.2216,1.03713,0.000406,0.000406,0.000406
23,225.321,0.91791,1.02804,1.00726,0.44152,0.86636,0.45004,0.32502,0.96085,1.28457,1.02531,0.000377714,0.000377714,0.000377714
24,235.001,0.91918,1.02462,1.00026,0.41883,0.84939,0.45757,0.33197,0.93497,1.23133,1.01092,0.000349429,0.000349429,0.000349429
25,244.636,0.90889,0.99936,0.99556,0.43445,0.87211,0.48124,0.34834,0.94465,1.17311,1.01614,0.000321143,0.000321143,0.000321143
26,253.642,0.83854,0.95226,0.97465,0.4358,0.89133,0.45476,0.33206,0.92819,1.20937,0.99895,0.000292857,0.000292857,0.000292857
27,263.352,0.84937,0.91833,0.96605,0.43382,0.84737,0.46077,0.32995,0.95541,1.22428,1.02001,0.000264571,0.000264571,0.000264571
28,272.883,0.82221,0.90898,0.96269,0.43051,0.90447,0.4692,0.33693,0.95729,1.25136,1.03022,0.000236286,0.000236286,0.000236286
29,282.279,0.80087,0.87798,0.95315,0.44111,0.82644,0.47109,0.34332,0.96059,1.18906,1.01511,0.000208,0.000208,0.000208
30,291.892,0.80405,0.88847,0.9545,0.44767,0.85636,0.47806,0.34589,0.94573,1.22983,1.01739,0.000179714,0.000179714,0.000179714
31,301.506,0.79239,0.87116,0.94318,0.42952,0.8662,0.465,0.33861,0.94064,1.29755,1.01952,0.000151429,0.000151429,0.000151429
32,310.216,0.78177,0.82572,0.93775,0.43002,0.90383,0.50055,0.36164,0.95973,1.19842,1.02671,0.000123143,0.000123143,0.000123143
33,319.769,0.7797,0.81112,0.94844,0.44516,0.80388,0.49643,0.3611,0.95348,1.21849,1.016,9.48571e-05,9.48571e-05,9.48571e-05
34,329.396,0.76567,0.80002,0.93092,0.44564,0.85947,0.51576,0.37161,0.97318,1.23748,1.02762,6.65714e-05,6.65714e-05,6.65714e-05
35,339.037,0.76384,0.76405,0.93516,0.43918,0.83613,0.47368,0.34547,0.95354,1.27446,1.02149,3.82857e-05,3.82857e-05,3.82857e-05
